param_id,default,actual,type
AHRS_TRIM_X,0.0,-0.00039845792343840003,9
AHRS_TRIM_Y,0.0,-7.927952538011596e-05,9
ARMING_CHECK,1.0,0.0,6
BARO1_GND_PRESS,96495.15625,96488.0625,9
COMPASS_USE2,1.0,0.0,2
COMPASS_USE3,1.0,0.0,2
FLTMODE1,11.0,5.0,2
FLTMODE2,11.0,7.0,2
FLTMODE3,5.0,11.0,2
FLTMODE4,5.0,13.0,2
FLTMODE5,0.0,4.0,2
FLTMODE_CH,8.0,6.0,2
GPS_TYPE,1.0,2.0,2
INS_ACC1_CALTEMP,-300.0,31.280193328857422,9
INS_ACC2OFFS_X,0.0,0.6151538491249084,9
INS_ACC2OFFS_Y,0.0,0.12724806368350983,9
INS_ACC2OFFS_Z,0.0,0.01934814453125,9
INS_ACC2_CALTEMP,-300.0,30.314010620117188,9
INS_ACC3SCAL_X,1.0,0.0,9
INS_ACC3SCAL_Y,1.0,0.0,9
INS_ACC3SCAL_Z,1.0,0.0,9
INS_ACCOFFS_X,0.0,0.6742284297943115,9
INS_ACCOFFS_Y,0.0,0.09323480725288391,9
INS_ACCOFFS_Z,0.0,0.010302543640136719,9
INS_GYR1_CALTEMP,40.9420280456543,26.69082260131836,9
INS_GYR2OFFS_X,-0.0073736789636313915,-0.007063000928610563,9
INS_GYR2OFFS_Y,0.01050802506506443,0.010922785848379135,9
INS_GYR2OFFS_Z,0.0014337727334350348,0.0031358227133750916,9
INS_GYR2_CALTEMP,40.9420280456543,25.966182708740234,9
INS_GYROFFS_X,0.000367274071322754,-0.0013079376658424735,9
INS_GYROFFS_Y,0.007988084107637405,0.007231269963085651,9
INS_GYROFFS_Z,0.0004965261905454099,0.001635377760976553,9
LOG_BITMASK,65535.0,18053.0,6
RNGFND1_TYPE,0.0,32.0,2
RNGFND_LANDING,0.0,1.0,2
SERIAL2_BAUD,57.0,115.0,6
SERIAL2_PROTOCOL,2.0,32.0,2
SERIAL3_BAUD,230.0,9.0,6
SERIAL4_BAUD,230.0,9.0,6
SERIAL6_BAUD,57.0,115.0,6
SERIAL7_BAUD,57.0,460.0,6
SERIAL7_PROTOCOL,-1.0,23.0,2
SR0_EXTRA1,1.0,4.0,4
SR0_EXTRA2,1.0,4.0,4
SR0_EXTRA3,1.0,2.0,4
SR0_EXT_STAT,1.0,2.0,4
SR0_POSITION,1.0,2.0,4
SR0_RAW_SENS,1.0,2.0,4
SR0_RC_CHAN,1.0,2.0,4
SR1_PARAMS,10.0,1.0,4
SR2_EXTRA1,1.0,4.0,4
SR2_EXTRA2,1.0,4.0,4
SR2_EXTRA3,1.0,2.0,4
SR2_EXT_STAT,1.0,2.0,4
SR2_POSITION,1.0,2.0,4
SR2_RAW_SENS,1.0,2.0,4
SR2_RC_CHAN,1.0,2.0,4
